title	type	desc	provider	source	publisher	classification	open	update freq	from	to	coverage notes	topic	geo coverage	contact point	contact email	contact phone
After school programs at community centers	579228da2600cbad44f8bbc6	['Tabular']	['Boston Centers for Youth and Families']	['Bostracks Enfocus']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none	Gives data for last and current school year.	['health & human services']	['Boston (all)']	Boston Centers for Youth and Families	bcyf@cityofboston.gov	(617) 635-4920
Dockets filed by the Mayor	579221351981ff9f40ef463c	['Tabular']	['Intergovernmental Relations']	[' City Clerk documents and assigned docket numbers.']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		['intergovernmental relations']	none	Intergovernmental Relations	igr@cityofboston.gov	(617) 635-3817
Parking freeze permits	5791360911ee89c244d5eb14	['Tabular']	['Environment Department']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none		['environment']	['Downtown Boston', 'South Boston']	Environment Department	environment@cityofboston.gov	(617) 635-3850
Economic & workforce development	57912c9811ee89c244d5e5b4	['Tabular']	['Office of Economic Development']	none	['Department of Innovation and Technology']	['Public Record']	yes	['Quarterly']	none	none		['economic development']	['Boston (all)']	Office of Economic Development	meghan.haggerty@boston.gov	(617) 635-5729
Tropical storm Irene 2011	578fc5e23e277d8640e278c9	['Geospatial', 'External', 'Tabular']	["Mayor's Office of Emergency Management Services"]	['ArcGIS REST Services']	['Department of Innovation and Technology']	['Exempt Record']	no	none	2011-08-26	2011-09-02	Emergency Declaration Time Period May Differ	none	none	Mayor's Office of Emergency Management Services	oem@cityofboston.gov	(617) 635-1400
Boston Cultural Council grants awarded	578f85660c237e9e404e8979	['Tabular']	['Office of Arts & Culture']	none	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		none	none	Office of Arts & Culture	arts@cityofboston.gov	(617) 635-3911
Constituent contacts	578e47b404eb8b783f595007	['Tabular']	["Mayor's Office for Immigrant Advancement"]	none	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none		['immigrant services']	['Boston (all)']	Mayor's Office for Immigrant Advancement	newbostonians@boston.gov	(617) 635-2980
Cityscore	57894f1b3b1ce86b3f6c475a	['Tabular']	['DoIT Data & Analytics']	['City of Boston Voice over IP (VOIP) System', 'Boston Police Department Crime Statistics Feed', 'City wide Enterprise Permitting and Licensing Software', 'Computer aided dispatch system (CAD)', 'City Constituent Relationship Management (CRM) System']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	none	none	Current month updated daily	none	['Boston (all)']	DoIT Data & Analytics	analytics@boston.gov	(617) 635-4783
Fire incident reporting	5789265a1d9e1866406b3d3a	['Tabular']	['Boston Fire Department']	['Web-based fire incident reporting system. ']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2016-10-10	none		['public safety']	['Boston (all)']	Senior Systems and Network Operations Specialist, Boston Fire Department	publicinfo.bfd@cityofboston.gov	(617) 343-3415
Property inventory	57890729a47725843f602b46	['Tabular']	['Department of Neighborhood Development']	['Department of Neighborhood Development Data Server']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		['housing']	['Boston (all)']	Deputy Director, Real Estate Management and Sales	donald.wright@boston.gov	(617) 635-0342
Enterprise employment data	5787fbb5b0dd07613f6419a2	['Tabular']	['Office of Human Resources']	['City of Boston Enterprise Resource Planning System, Human Capital Management (HCM)']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none		['finances']	['Boston (all)']	Office of Human Resources	ohr@cityofboston.gov	(617) 635-3370
Entertainment licenses	5787a13a6928fd9840f19fc2	['Tabular']	['Consumer Affairs & Licensing Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	2016-10-10	none		['economic development']	['Boston (all)']	Assistant Director of Operations, Consumer Affairs and Licensing	rebecca.phu@boston.gov	(617) 635-4165
City Hall to Go master transaction	57854311d2f3a12a46420fe9	['Tabular']	['Neighborhood Services']	none	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none		['city services']	['Boston (all)']	Neighborhood Services	jerome.smith@boston.gov	(617) 635-3485
Fiscal year adopted budget	5785104455940f24468881bf	['Tabular']	['Office of Budget Management']	['City wide Budgeting and Forecasting Application']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	2016-07-01	none		['finances']	['Boston (all)']	System Administrator, Office of Budget Management	budget@cityofboston.gov	(617) 635-3870
Clough House archaeology	5784f2839f5a0b683f60b620	['Tabular']	['City of Boston Archaeology Program']	['Massachusetts Artifact Tracking System']	['Department of Innovation and Technology']	['Public Record']	yes	none	2013-05-16	2013-12-20		['archaeology']	['North End']	City of Boston Archaeology Program	archaeology@boston.gov	(617) 635-3850
Economic indicators	577fb3e19db89a223d06d39d	['Tabular']	['Boston Planning & Development Agency']	['Airport Statistics, Massport', 'Labor Market Information, The Official Website of the Executive Office of Labor and Workforce Development (EOLWD)']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none	One month lag	['economic development']	['Boston (all)']	Boston Planning & Development Agency	none	(617) 722-4300
City of Boston bid results	577ec15bb1d941db4ff8aea5	['Tabular']	['Purchasing Division']	['City of Boston Enterprise Resource Planning System, Financials']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2016-10-10	none		['finances']	['Boston (all)']	Manager, Procurement Systems	purchasing@boston.gov	(617) 635-4564
Daily active user counts	577e5c2aa289a6623da4f019	['Tabular']	['Boston Public Library']	['Boston Public Library enterprise integrated library system (ILS)']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2016-10-10	none		['arts & culture']	['Boston (all)']	Data Literacy Librarian, Boston Open Data	jacqueline.ford@boston.gov	(617) 635-0736
Traffic-related data	577d6602238f7dac4d88b8ea	['External']	['Boston Transportation Department']	['City of Boston document management system']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	none	none		['transportation']	['Boston (all)']	Boston Transportation Department	none	(617) 635-4430
Rainfall data	577c103f79de5efb3fbcb808	['External']	['Boston Water and Sewer Commission']	none	['Boston Water and Sewer Commission']	['Public Record']	yes	['Daily']	1999-01-01	none		['city services']	['Boston (all)']	Boston Water and Sewer Commission	kimd@bwsc.org	(617) 989-7800
911 dispatches	577521ea8b6234d93ce62d1e	['Tabular']	['Boston Police Department']	['Computer aided dispatch system (CAD)']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	2016-01-01	none	Current month updated daily	['public safety']	['Boston (all)']	Boston Police Department	mediarelations.bpd@ci.boston.ma.us	(617) 343-4200
Commissioner events attendance	577417b5c01b09ac41859fae	['Tabular']	['Veterans Services']	none	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2015-01-01	none	Current year updated monthly	['city services']	['Boston (all)']	Veterans Services	veterans@cityofboston.gov	(617) 635-3026
Chapter 115 financial services for indigent veterans and their dependents	5773d915c591f347400137c4	['Tabular']	['Veterans Services']	none	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2015-01-01	none	Current year updated monthly.	['city services']	['Boston (all)']	Veterans Services	veterans@cityofboston.gov	(617) 635-3026
Fiscal year recommended budget	576c438753386eea300da0f0	['Tabular']	['Office of Budget Management']	['City wide Budgeting and Forecasting Application']	['Department of Innovation and Technology']	['Public Record']	yes	['Biennial']	none	none		['finances']	['Boston (all)']	System Administrator, Office of Budget Management	budget@cityofboston.gov	(617) 635-3870
Approved issued building bermits	5761bafbb2abfb762b2684b8	['Tabular']	['Inspectional Services Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	['Public Record']	yes	['Quarterly']	2009-01-01	2016-04-30	Current year updated quarterly	['permitting']	['Boston (all)']	Director of Publicity, ISD	isd@boston.gov	(617) 961-3429
Boston EMS transports by age	576058f835ed5d7b2b78c197	['Tabular']	['Boston EMS']	['Boston EMS electronic patient care report system']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	2014-01-01	2015-12-31		['health & human services']	['Boston (all)']	Boston EMS	emailems@bostonems.org	(617) 343-2367
Boston EMS incidents by neighborhood	575f1d3b02c36e1a33b90763	['Tabular']	['Boston EMS']	['Computer aided dispatch system (CAD)']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	2014-01-01	2015-12-31		['health & human services']	['Boston (all)']	Boston EMS	emailems@bostonems.org	(617) 343-2367
Employee earnings report	56a6414c2a95e21d083dc040	['Tabular']	['']	['City Constituent Relationship Management (CRM) System']	['']	['Public Record']	yes	['Annual']	2011-01-01	2014-12-31	Each distribution contains earnings for calendar year.	['finances']	['Boston (all)']	none	none	none
311 service requests	568be9ee0a7237c0061f3bf6	['Tabular']	['Boston 311']	['City Constituent Relationship Management (CRM) System']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	2017-01-01	none		['city services']	['Boston (all)']	Boston 311	none	none
